,room,room_type,campus
0,10,ауд,"ул. Стромынка, 20"
1,103,ауд,"ул. Стромынка, 20"
2,110,ауд,"ул. Стромынка, 20"
3,111,ауд,"ул. Стромынка, 20"
4,112,ауд,"ул. Стромынка, 20"
5,113,ауд,"ул. Стромынка, 20"
6,128,ауд,"ул. Стромынка, 20"
7,13,комп,"ул. Стромынка, 20"
8,130,ауд,"ул. Стромынка, 20"
9,131,ауд,"ул. Стромынка, 20"
10,135,ауд,"ул. Стромынка, 20"
11,139,ауд,"ул. Стромынка, 20"
12,143,ауд,"ул. Стромынка, 20"
13,145б,ауд,"ул. Стромынка, 20"
14,147,ауд,"ул. Стромынка, 20"
15,149,ауд,"ул. Стромынка, 20"
16,183,ауд,"ул. Стромынка, 20"
17,185,комп,"ул. Стромынка, 20"
18,200-2,ауд,"ул. Стромынка, 20"
19,212,ауд,"ул. Стромынка, 20"
20,214,ауд,"ул. Стромынка, 20"
21,215,ауд,"ул. Стромынка, 20"
22,224,ауд,"ул. Стромынка, 20"
23,228,ауд,"ул. Стромынка, 20"
24,232,ауд,"ул. Стромынка, 20"
25,239а,комп,"ул. Стромынка, 20"
26,246,комп,"ул. Стромынка, 20"
27,250,ауд,"ул. Стромынка, 20"
28,251а,комп,"ул. Стромынка, 20"
29,253,ауд,"ул. Стромынка, 20"
30,254,ауд,"ул. Стромынка, 20"
31,256,комп,"ул. Стромынка, 20"
32,257,ауд,"ул. Стромынка, 20"
33,258а,ауд,"ул. Стромынка, 20"
34,259,ауд,"ул. Стромынка, 20"
35,260,ауд,"ул. Стромынка, 20"
36,261,ауд,"ул. Стромынка, 20"
37,262,ауд,"ул. Стромынка, 20"
38,263,ауд,"ул. Стромынка, 20"
39,265,ауд,"ул. Стромынка, 20"
40,266б,ауд,"ул. Стромынка, 20"
41,269,ауд,"ул. Стромынка, 20"
42,273,ауд,"ул. Стромынка, 20"
43,275,ауд,"ул. Стромынка, 20"
44,281,ауд,"ул. Стромынка, 20"
45,283,ауд,"ул. Стромынка, 20"
